Tree,Group,FtNo,Number,Name,ValueType,Unit,Default,Min,Max,Command,DataAttribute,Rsware,Remark
Drive,(top-level),Ft-9.51,1,Drive Name,string,-,,,,SET/STR,,O,"""Drive"""
Drive,(top-level),Ft-0.02/D3,2,AC Line Loss Check,enum,-,0,0,2,SET/STR,Servo Off,O,0: Enable; 1: Disable; 2: Single phase input
Drive,(top-level),Ft-9.50,3,Motor Model,string,-,,,,SET/STR,,O,"""Default Motor"""
Drive,(top-level),Ft-0.02/D2,4,Command Polarity,enum,-,0,0,1,SET/STR,Servo Off,O,0: Normal; 1: Inverted
Drive,(top-level),Ft-4.12,5,Initial Current Bias,int,-,(dynamic),-100,100,SET/STR,Always,O,
Drive,Velocity Limits,Ft-2.17/D0,6,Velocity Limit Mode,int,-,(dynamic),0x0,0x1,SET/STR,Always,O,
Drive,Velocity Limits,Ft-2.16,7,Manual Velocity Limit,int,rpm(mm/sec),(dynamic),1,6000,SET/STR,Always,O,
Drive,Acceleration Limits,Ft-0.09,8,Acceleration Limits,int,-,0x0005,0x0000,0x0155,SET/STR,Always,,Network Type 미 지원
Drive,Acceleration Limits,Ft-2.06,9,Acceleration,int,x0.01 Rev/sec2 (mm/sec2),(dynamic),1,2147483647,SET/STR,Always,O,
Drive,Acceleration Limits,Ft-2.07,11,Deceleration,int,x0.01 Rev/sec2 (mm/sec2),(dynamic),1,0x7fffffff,SET/STR,Always,O,
Drive,Acceleration Limits,Ft-2.08,13,S-Curve Time,int,msec,(dynamic),0,5000,SET/STR,Always,O,
Drive,Communications,Ft-0.07,14,Drive Address,int,-,1,1,247,SET/STR,Always,O,
Drive,Communications,Ft-0.33,15,Alias ID,int,-,(dynamic),0,255,SET/STR,Always,O,CSD7 신규기능
Drive,Communications,Ft-0.34,16,Alias ID EEPROM,int,-,,,,SET/STR,,,[v2.00+]
Drive,Current Limits,Ft-4.07,17,Positive Internal Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Drive,Current Limits,Ft-4.08,18,Negative Internal Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Drive,Current Limits,Ft-4.09,19,Positive External Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Drive,Current Limits,Ft-4.10,20,Negative External Current Limit,int,-,(dynamic),0,500,SET/STR,Always,O,
Drive,Current Limits,Ft-4.28/D3,21,Current Limit Band,int,-,0,0,2,SET/STR,Servo Off,O,"2016.08.23 추가, FW 2.14 [(Tuningless)]"
Drive,Current Limits,Ft-5.11,22,Power Sag Warning,int,-,0,0,1,SET/STR,Always,O,CSD7 신규기능
Drive,Current Limits,Ft-5.12,23,Power Sag Current Limit,int,-,50,0,450,SET/STR,Always,O,CSD7 신규기능
Drive,Current Limits,Ft-5.13,24,Power Sag Current Limit Release Time,int,-,100,0,3000,SET/STR,Always,O,CSD7 신규기능
Drive,Speed Functions,Ft-2.18,25,Velocity Window,int,-,(dynamic),0,1000,SET/STR,Always,O,
Drive,Speed Functions,Ft-2.19,26,Up to Velocity,int,-,(dynamic),1,5000,SET/STR,Always,O,
Drive,Position Functions,Ft-3.18,27,In Position Size,int,-,(dynamic),0,2500,SET/STR,Always,O,2016.08.23수정
